,customer_code,dispatch_weight,order_value_weight,final_weights,new_shift
3157,12104,0.00010201167013506343,5.340427229554915e-05,1.5251530523356989e-05,evng
4275,18286,9.181050312155709e-05,5.932929689888772e-05,1.5249272938642738e-05,mrng
2439,6893,4.845554331415513e-05,0.00011225030839536663,1.5227148359123963e-05,evng
2216,6124,9.691108662831026e-05,5.598659329354658e-05,1.5189555813068178e-05,evng
2404,6727,0.0001071122536418166,5.060272446329483e-05,1.5174019076004713e-05,both
5507,21236,8.160933610805074e-05,6.636784308088695e-05,1.516299937826322e-05,evng
6752,23539,3.570408454727221e-05,0.00015167869904299163,1.516107743942656e-05,evng
3801,17128,0.00013771575468233565,3.9277724033917534e-05,1.5143194817123946e-05,mrng
3188,12157,7.3958460847921e-05,7.308098284258097e-05,1.5131424409096352e-05,evng
2829,7901,6.630758558779124e-05,8.14717527887722e-05,1.512369265931171e-05,evng
4394,18629,0.0001071122536418166,5.036944220182003e-05,1.5104065738051934e-05,evng
3213,12205,0.00010201167013506343,5.2833798007095775e-05,1.5088610860769205e-05,evng
1177,3527,9.691108662831026e-05,5.556970292020559e-05,1.5076450528011949e-05,evng
4141,17954,9.946137838168685e-05,5.410531219077255e-05,1.506544449088107e-05,evng
6808,23606,9.946137838168685e-05,5.3954834728777167e-05,1.502354454133773e-05,mrng
3553,15298,0.0001096625453951932,4.890575715377423e-05,1.5014327265075366e-05,mrng
5363,20880,0.00018872158974986736,2.838480431537136e-05,1.4996677756158488e-05,evng
5025,20137,0.0001071122536418166,5.000622726430394e-05,1.4995150053194755e-05,mrng
5283,20684,0.0001453666299424654,3.669215108148617e-05,1.4932257277154427e-05,evng
5032,20150,4.845554331415513e-05,0.00010992093416183056,1.4911160567686961e-05,both
2769,7720,0.00011731342065532296,4.5395443306366166e-05,1.4908966143818757e-05,evng
3742,16981,9.691108662831026e-05,5.489098292700317e-05,1.4892309028918776e-05,both
3654,16196,0.0001249642959154527,4.255590508025475e-05,1.4887896703631038e-05,mrng
2458,6953,9.181050312155709e-05,5.782907647015439e-05,1.4863674726938478e-05,both
3586,15518,8.926021136818051e-05,5.940641987194002e-05,1.4844954132654577e-05,mrng
6692,23476,3.570408454727221e-05,0.00014826754434308875,1.4820114727527028e-05,mrng
3355,13302,0.00015811808870934836,3.346485184568828e-05,1.481351192592397e-05,mrng
1420,4211,8.415962786142735e-05,6.284963578703404e-05,1.4807922762405268e-05,mrng
1863,5284,0.0001249642959154527,4.23267114057864e-05,1.4807714840639862e-05,mrng
6147,22622,0.00011221283714856977,4.7051044591476305e-05,1.4780849042348849e-05,both
2177,6036,8.670991961480392e-05,6.08748700881161e-05,1.4777276506994394e-05,mrng
7066,23951,8.160933610805074e-05,6.46084848066558e-05,1.4761040429773725e-05,mrng
3118,12010,0.0001453666299424654,3.6211523856252806e-05,1.4736660966497933e-05,mrng
6543,23246,0.00010201167013506343,5.153099376520768e-05,1.4716547769053392e-05,mrng
5322,20782,0.0001249642959154527,4.202466522191844e-05,1.4702046018024722e-05,evng
6745,23532,2.0402334027012686e-05,0.00025688569608822877,1.467260901233161e-05,evng
6643,23403,1.7852042273636104e-05,0.00029354022052915013,1.4670438377663641e-05,mrng
6659,23428,0.00015556779695597174,3.360403113042208e-05,1.4635199560011273e-05,both
1010,3105,0.00014281633818908883,3.652493369297501e-05,1.460343084910448e-05,evng
234,1479,7.3958460847921e-05,7.050790845327606e-05,1.4598669113445569e-05,evng
6701,23485,3.0603501040519036e-05,0.00017035829633999306,1.4595600566322347e-05,mrng
1556,4569,8.415962786142735e-05,6.193387232331351e-05,1.4592160897287127e-05,evng
1548,4549,0.000147916921695842,3.52314415353721e-05,1.458934660373413e-05,evng
5972,22228,0.00010456196188844002,4.964384168429452e-05,1.4532042991212482e-05,evng
5520,21259,0.00010456196188844002,4.952717145329374e-05,1.4497890581665289e-05,both
1970,5577,0.00015046721344921855,3.4409068091939465e-05,1.449447059845297e-05,evng
4238,18179,8.670991961480392e-05,5.969345031989817e-05,1.4490488764194862e-05,mrng
6973,23812,8.160933610805074e-05,6.330509855949991e-05,1.4463256986198877e-05,mrng
4629,19172,8.160933610805074e-05,6.312282905974972e-05,1.4421614043124471e-05,evng
2214,6122,7.3958460847921e-05,6.945276927804387e-05,1.438020244742531e-05,both
6116,22545,0.00011731342065532296,4.374313762608506e-05,1.4366308827305764e-05,mrng
7021,23885,8.415962786142735e-05,6.077383397362219e-05,1.4318845736927823e-05,both
4731,19394,0.00011476312890194637,4.453369720656538e-05,1.4307992407763532e-05,mrng
1846,5240,3.8254376300648787e-05,0.0001334509924611248,1.4291917556913032e-05,mrng
281,1559,9.436079487493368e-05,5.407826349595053e-05,1.4285712211554988e-05,evng
1197,3600,3.570408454727221e-05,0.000142524949290949,1.4246112386802302e-05,mrng
2994,11106,9.436079487493368e-05,5.391877950243558e-05,1.4243581745700171e-05,mrng
696,2319,0.00016066838046272492,3.1628719801565557e-05,1.4226550132691643e-05,evng
4559,19023,0.00011476312890194637,4.424941673349766e-05,1.4216657461296779e-05,mrng
3140,12068,4.5905251560778544e-05,0.00011054288681622279,1.4206292174327756e-05,both
188,1400,0.00011221283714856977,4.520874329151467e-05,1.4202099353756619e-05,both
2155,6000,0.00013771575468233565,3.677276608614537e-05,1.41774294336954e-05,evng
4266,18244,7.140816909454442e-05,7.073959020026434e-05,1.4141582329309445e-05,evng
3991,17600,0.00014281633818908883,3.533584600535354e-05,1.4128008772621927e-05,evng
2336,6594,8.670991961480392e-05,5.8118202137076705e-05,1.410809980909732e-05,evng
2484,7004,7.140816909454442e-05,7.054209398769477e-05,1.4102100775318637e-05,mrng
4156,17979,6.120700208103807e-05,8.224095277592342e-05,1.4092135489727407e-05,mrng
6483,23168,0.00011731342065532296,4.2877564841648344e-05,1.4082033701912987e-05,evng
2626,7383,5.35561268209083e-05,9.388268047204954e-05,1.4076095699379445e-05,both
5471,21166,6.630758558779124e-05,7.577284450704836e-05,1.406579793634123e-05,both
4128,17933,0.00010456196188844002,4.804545879207715e-05,1.4064154767455824e-05,mrng
6801,23598,9.436079487493368e-05,5.319276430615676e-05,1.4051792226496554e-05,both
4591,19086,9.436079487493368e-05,5.314327203319432e-05,1.4038717983306587e-05,evng
3542,15141,0.00018362100624311418,2.7275866028194838e-05,1.4021306418333576e-05,mrng
2265,6294,7.3958460847921e-05,6.766591125490813e-05,1.4010233324745258e-05,evng
3656,16234,0.0001326151711755825,3.758838099340541e-05,1.3955146470930475e-05,mrng
217,1456,0.00010456196188844002,4.766814477694808e-05,1.3953705146656689e-05,evng
3130,12047,3.0603501040519036e-05,0.0001628143149582196,1.3949263162780889e-05,both
804,2583,0.00011476312890194637,4.339495297461049e-05,1.3942131389092192e-05,evng
4990,20068,0.0001300648794222059,3.824856411882771e-05,1.3927165852541858e-05,evng
4685,19289,0.00013771575468233565,3.604433556800506e-05,1.38965891987212e-05,both
6122,22560,0.00011731342065532296,4.212006316038034e-05,1.383325175162577e-05,evng
5094,20311,3.8254376300648787e-05,0.00012915219970206887,1.3831538877267175e-05,both
102,1263,0.0001300648794222059,3.791099378842504e-05,1.3804248872866246e-05,evng
4621,19151,4.335495980740196e-05,0.00011329904551265284,1.3751580258779542e-05,evng
6684,23462,5.1005835067531715e-05,9.630267292578553e-05,1.3751363818610571e-05,mrng
6301,22884,0.00015811808870934836,3.105288378958238e-05,1.374583298537979e-05,mrng
919,2840,0.00011476312890194637,4.27680751006393e-05,1.3740725163604755e-05,both
5984,22249,9.946137838168685e-05,4.9338448970136575e-05,1.3738127258279248e-05,mrng
6669,23445,0.00012241400416207614,4.0069811378225877e-05,1.3732068803441455e-05,mrng
4080,17806,0.00010456196188844002,4.676721517249116e-05,1.3689979631067391e-05,both
216,1455,0.0001071122536418166,4.561492476792773e-05,1.367834925728399e-05,evng
5621,21492,0.00012241400416207614,3.9759362493303715e-05,1.3625676851468867e-05,mrng
3136,12062,0.0001071122536418166,4.542915596150474e-05,1.3622643572614111e-05,evng
7020,23884,6.885787734116782e-05,7.06207447245751e-05,1.361361588277287e-05,both
5661,21604,0.0001326151711755825,3.665108333477546e-05,1.3607163244003624e-05,evng
2803,7842,6.630758558779124e-05,7.3213556367525e-05,1.3590714414459435e-05,evng
3759,17034,9.181050312155709e-05,5.284073841991454e-05,1.358153365306119e-05,mrng
2647,7429,8.415962786142735e-05,5.763346449963939e-05,1.3578947278745412e-05,mrng
511,1920,6.630758558779124e-05,7.294903497329985e-05,1.3541611011977769e-05,evng
3346,13219,0.00010456196188844002,4.624995799071427e-05,1.3538565007459137e-05,mrng
1366,4031,0.0001326151711755825,3.632804858593666e-05,1.3487232640021596e-05,both
2179,6040,9.181050312155709e-05,5.24613873863481e-05,1.3484029928042002e-05,evng
657,2254,0.00011221283714856977,4.289141656702251e-05,1.3474122816914238e-05,both
2874,7992,0.00014281633818908883,3.369755210189526e-05,1.3472984675089781e-05,evng
6427,23087,0.00015811808870934836,3.0330280599186172e-05,1.342596630770842e-05,mrng
492,1883,8.926021136818051e-05,5.3727619872219407e-05,1.3425889901783627e-05,both
648,2237,0.00011221283714856977,4.27162548066056e-05,1.3419096630754212e-05,evng
955,2971,6.630758558779124e-05,7.202255533758554e-05,1.3369627560216494e-05,mrng
2629,7386,0.00011986371240869954,3.9830374411043845e-05,1.3365637623086685e-05,mrng
895,2780,0.00013516546292895905,3.531491564090949e-05,1.336323107019279e-05,evng
515,1926,9.181050312155709e-05,5.1973674246979035e-05,1.3358674139810157e-05,evng
24,1052,0.00011221283714856977,4.2504601315896244e-05,1.3352606751036899e-05,evng
4977,20039,0.0001249642959154527,3.812184702189115e-05,1.333667136307426e-05,both
4283,18322,0.0001071122536418166,4.4258226838239316e-05,1.3271522145032342e-05,evng
481,1864,0.0001071122536418166,4.40323578688634e-05,1.3203791798764649e-05,both
4027,17685,6.375729383441465e-05,7.396314277715064e-05,1.3201789402567363e-05,mrng
394,1740,0.0001071122536418166,4.398830734515512e-05,1.3190582559654561e-05,both
1988,5608,8.670991961480392e-05,5.426656402528853e-05,1.3173120871148296e-05,evng
4518,18918,0.00011221283714856977,4.192251602234981e-05,1.31697475833312e-05,mrng
2964,10842,8.670991961480392e-05,5.411151782194071e-05,1.3135483655415206e-05,both
7107,24008,5.610641857428489e-05,8.360590063028323e-05,1.3132186617698434e-05,both
3276,12510,0.00011476312890194637,4.0857504582762155e-05,1.312688822261408e-05,mrng
1544,4535,0.00011731342065532296,3.992671083300012e-05,1.3112901575294485e-05,evng
5211,20556,8.415962786142735e-05,5.5625073446373004e-05,1.3105752816740113e-05,mrng
4319,18442,7.3958460847921e-05,6.322489823359402e-05,1.3090721158679075e-05,evng
6954,23789,7.3958460847921e-05,6.321936918354972e-05,1.30895763683445e-05,mrng
6736,23523,3.570408454727221e-05,0.000130737021871546,1.3067847531001732e-05,evng
449,1815,0.00012241400416207614,3.808639562601493e-05,1.3052345075318524e-05,evng
3880,17345,7.905904435467418e-05,5.8872546439766796e-05,1.3030226053538671e-05,evng
3423,14061,0.000147916921695842,3.1434388242639756e-05,1.3016986117010801e-05,mrng
6699,23483,4.335495980740196e-05,0.0001072441973592607,1.3016677948178907e-05,both
5707,21706,6.120700208103807e-05,7.585464534744077e-05,1.2997830201139147e-05,mrng
1687,4859,0.0001071122536418166,4.32022510304346e-05,1.295487126859483e-05,evng
4021,17671,7.650875260129757e-05,6.034555084716357e-05,1.2925398631042837e-05,evng
2137,5959,5.35561268209083e-05,8.615002025751396e-05,1.2916716092370972e-05,both
5425,21069,0.00013516546292895905,3.411503175556988e-05,1.2909192731825096e-05,both
346,1667,9.691108662831026e-05,4.7509133662713224e-05,1.288956149942205e-05,evng
6479,23164,7.905904435467418e-05,5.818660958124335e-05,1.2878408052356078e-05,mrng
3838,17227,0.00014281633818908883,3.2077278536541906e-05,1.2825165484857532e-05,evng
2121,5927,9.181050312155709e-05,4.987176949730537e-05,1.2818426388797215e-05,evng
5263,20648,0.0001275145876688293,3.5882945507238e-05,1.2809598725615602e-05,mrng
157,1361,0.0001249642959154527,3.658939077638631e-05,1.2800551869366296e-05,evng
6742,23529,3.315379279389562e-05,0.00013788785869490563,1.2798138771845256e-05,evng
2801,7840,9.181050312155709e-05,4.978716775656155e-05,1.2796681397652528e-05,evng
3591,15562,0.00018362100624311418,2.4848918611508366e-05,1.277372097575336e-05,mrng
289,1574,5.610641857428489e-05,8.131653198384405e-05,1.2772589794087911e-05,both
